행정구역별(1),65세이상인구_08,65세이상인구_09,65세이상인구_10,65세이상인구_11,65세이상인구_12,65세이상인구_13,65세이상인구_14,65세이상인구_15,65세이상인구_16,65세이상인구_17,65세이상인구_18,65세이상인구_19,65세이상인구_20,65세이상인구_21,65세이상인구_22,65세이상인구_23
전국,4888482,5089756,5288499,5516565,5728780,6008757,6279872,6549277,6801505,7031367,7382628,7680143,8075536,8542313,8900662,9310774
서울특별시,850916,895941,940994,1005863,1051592,1112074,1167971,1223221,1267890,1303079,1365618,1416167,1488747,1569328,1605763,1665804
부산광역시,347872,365388,383562,402639,420322,444830,470039,494664,516788,539173,567643,592362,623910,661115,685548,715541
대구광역시,222600,233830,243391,252418,261483,275827,290944,305141,317644,330990,349175,364537,381786,402487,419566,437542
인천광역시,206237,216848,226690,238403,251960,268469,284081,299529,314309,326309,346691,364582,387385,414192,438555,466876
광주광역시,114351,118911,124641,130846,137338,145342,152687,160620,167123,173562,181513,187753,196550,206509,214351,223793
대전광역시,114683,119788,125003,130538,136573,143815,151537,159199,166181,172486,181449,189282,199836,212081,222558,233899
울산광역시,66564,70376,73622,77004,80898,86328,92128,97922,103722,109423,117299,124597,133618,144360,154131,164948
세종특별자치시,-,-,-,-,-,17302,18058,19985,22651,24421,27052,29402,32261,35225,37772,40453
경기도,876719,923771,970004,1025629,1078741,1141571,1201728,1260611,1325202,1382581,1474951,1559910,1663749,1788463,1894176,2005191
강원도,203076,210533,217936,226863,233959,242479,250238,256465,262507,267222,280686,290428,304479,321208,335143,351621
충청북도,187091,193273,198782,204605,210101,215978,222887,229642,235630,242038,253132,262645,274813,289635,303393,318500
충청남도,286675,294544,301974,308768,316194,310960,321251,331915,342168,351366,363640,373504,388385,406914,421813,438348
전라북도,267574,272730,278286,284610,293213,304641,313698,323690,334414,342194,351599,359207,372332,387453,399127,411627
전라남도,333760,338616,344462,350878,357253,367254,375476,384415,392555,399944,408637,413359,423672,437022,446535,458499
경상북도,392250,403419,412951,418716,425520,439241,454162,468883,480913,494528,514239,530956,551863,576357,599186,620425
경상남도,356138,367359,379222,388894,400755,416434,433369,450704,465551,482483,505988,524963,551246,583326,611795,641560
제주특별자치도,61976,64429,66979,69891,72878,76212,79618,82671,86257,89568,93316,96489,100904,106638,111250,116147
